graph20_70_3.txt: 
Min Cuts: 29 
R Size | Number of Cuts
graph20_70_400.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             5
     2 |             2
     3 |             2
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             0
    18 |            25
    19 |             0

graph20_70_659.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             2
     2 |             1
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             6
    18 |            21
    19 |             0

graph20_70_932.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             8
     2 |             1
     3 |             2
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |            14
    18 |             8
    19 |             0

graph20_70_837.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             0
     4 |             1
     5 |             1
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |            12
    18 |            12
    19 |             0

graph20_70_157.txt: 
Min Cuts: 45 
R Size | Number of Cuts
     1 |             4
     2 |             3
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             0
    17 |             4
    18 |            21
    19 |             0

graph20_70_191.txt: 
Min Cuts: 45 
R Size | Number of Cuts
     1 |             5
     2 |             1
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             6
    18 |            18
    19 |             0

graph20_70_856.txt: 
Min Cuts: 45 
R Size | Number of Cuts
     1 |             4
     2 |             3
     3 |             4
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             6
    18 |            18
    19 |             0

graph20_70_703.txt: 
Min Cuts: 46 
R Size | Number of Cuts
     1 |             6
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             0
    18 |            27
    19 |             0

graph20_70_799.txt: 
Min Cuts: 46 
R Size | Number of Cuts
     1 |             8
     2 |             0
     3 |             2
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             4
    18 |            23
    19 |             0

graph20_70_762.txt: 
Min Cuts: 46 
R Size | Number of Cuts
     1 |             8
     2 |             7
     3 |             2
     4 |             2
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             2
    18 |            14
    19 |             0

graph20_70_720.txt: 
Min Cuts: 46 
R Size | Number of Cuts
     1 |             9
     2 |             1
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             4
    17 |             4
    18 |            16
    19 |             0

graph20_70_163.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             2
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             0
    18 |            27
    19 |             0

graph20_70_989.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             2
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             8
    18 |            21
    19 |             0

graph20_70_818.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             4
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             2
    15 |             1
    16 |            10
    17 |             2
    18 |            14
    19 |             0

graph20_70_70.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             3
     2 |             1
     3 |             1
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             9
    17 |             7
    18 |            11
    19 |             0

graph20_70_782.txt: 
Min Cuts: 48 
R Size | Number of Cuts
     1 |             6
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             2
    18 |            28
    19 |             0

graph20_70_241.txt: 
Min Cuts: 48 
R Size | Number of Cuts
     1 |             2
     2 |             5
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             2
    14 |             0
    15 |             1
    16 |             8
    17 |             1
    18 |            20
    19 |             0

graph20_70_811.txt: 
Min Cuts: 48 
R Size | Number of Cuts
     1 |             6
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             6
    18 |            20
    19 |             0

graph20_70_339.txt: 
Min Cuts: 48 
R Size | Number of Cuts
     1 |             3
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             5
    17 |             7
    18 |            18
    19 |             0

graph20_70_251.txt: 
Min Cuts: 48 
R Size | Number of Cuts
     1 |             2
     2 |             4
     3 |             2
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             2
    15 |             0
    16 |             2
    17 |             8
    18 |            14
    19 |             0

graph20_70_12.txt: 
Min Cuts: 48 
R Size | Number of Cuts
     1 |             3
     2 |             1
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             7
    18 |            21
    19 |             0

graph20_70_89.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             2
     2 |             1
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             4
    17 |            13
    18 |            12
    19 |             0

graph20_70_576.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             8
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             1
    15 |             5
    16 |             1
    17 |             0
    18 |            21
    19 |             0

graph20_70_838.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             5
     2 |             3
     3 |             1
     4 |             0
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |            10
    18 |            15
    19 |             0

graph20_70_690.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             3
     2 |             3
     3 |             2
     4 |             2
     5 |             2
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             2
    17 |             6
    18 |            16
    19 |             0

graph20_70_320.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             2
    17 |            11
    18 |            18
    19 |             0

graph20_70_843.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             5
     2 |             0
     3 |             0
     4 |             1
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             7
    15 |             0
    16 |             5
    17 |             3
    18 |            12
    19 |             0

graph20_70_975.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             3
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             0
    18 |            30
    19 |             0

graph20_70_301.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             3
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             6
    18 |            23
    19 |             0

graph20_70_74.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             2
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             5
    17 |            10
    18 |            16
    19 |             0

graph20_70_437.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             2
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             1
    13 |             0
    14 |             1
    15 |             1
    16 |             8
    17 |             2
    18 |            17
    19 |             0

graph20_70_779.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             2
     2 |             1
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             6
    18 |            26
    19 |             0

graph20_70_194.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             4
     2 |             3
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             1
     9 |             1
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             8
    18 |            23
    19 |             0

graph20_70_417.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             4
     2 |             0
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             2
    18 |            34
    19 |             0

graph20_70_737.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             3
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             7
    18 |            25
    19 |             0

graph20_70_294.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             6
     2 |             0
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             6
    18 |            23
    19 |             0

graph20_70_200.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             3
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             3
    18 |            29
    19 |             0

graph20_70_819.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             4
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             2
    18 |            27
    19 |             0

graph20_70_384.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             3
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             2
    18 |            31
    19 |             0

graph20_70_243.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             0
    18 |            31
    19 |             0

graph20_70_9.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             6
     2 |             3
     3 |             2
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             4
    17 |             0
    18 |            25
    19 |             0

graph20_70_653.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             7
     2 |             2
     3 |             2
     4 |             2
     5 |             2
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             3
    17 |            12
    18 |            11
    19 |             0

graph20_70_982.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             5
     2 |             0
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             8
    18 |            23
    19 |             0

graph20_70_914.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             4
     2 |             2
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             1
    17 |             0
    18 |            28
    19 |             0

graph20_70_311.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             7
     2 |             2
     3 |             3
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             4
    15 |             0
    16 |             0
    17 |             0
    18 |            25
    19 |             0

graph20_70_187.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             1
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             2
    15 |             4
    16 |            13
    17 |             7
    18 |             8
    19 |             0

graph20_70_167.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             6
     2 |             6
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             6
    18 |            22
    19 |             0

graph20_70_282.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             1
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |            13
    18 |            18
    19 |             0

graph20_70_928.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             3
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             2
    17 |             4
    18 |            27
    19 |             0

graph20_70_218.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             5
     2 |             2
     3 |             3
     4 |             0
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             0
    17 |            10
    18 |            21
    19 |             0

graph20_70_629.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             4
    13 |             1
    14 |             1
    15 |             2
    16 |             3
    17 |             0
    18 |            22
    19 |             0

graph20_70_149.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |            10
     2 |             1
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             0
    17 |             3
    18 |            27
    19 |             0

graph20_70_986.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             9
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             3
    17 |            15
    18 |            11
    19 |             0

graph20_70_275.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             6
     2 |             2
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             5
    18 |            24
    19 |             0

graph20_70_273.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             4
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             4
    17 |            10
    18 |            19
    19 |             0

graph20_70_30.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             5
     2 |             3
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             3
    16 |             6
    17 |            11
    18 |            13
    19 |             0

graph20_70_489.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             7
     2 |             1
     3 |             3
     4 |             2
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             1
    13 |             1
    14 |             3
    15 |             7
    16 |             7
    17 |             5
    18 |             8
    19 |             0

graph20_70_379.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             6
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             3
    16 |             7
    17 |            14
    18 |             8
    19 |             0

graph20_70_176.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             4
     2 |             4
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             0
    15 |             3
    16 |             2
    17 |            10
    18 |            16
    19 |             0

graph20_70_611.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             4
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             3
    17 |            10
    18 |            19
    19 |             0

graph20_70_950.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             3
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             5
    18 |            27
    19 |             0

graph20_70_450.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             5
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             8
    18 |            25
    19 |             0

graph20_70_430.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             2
     2 |             2
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             8
    18 |            22
    19 |             0

graph20_70_741.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             4
     2 |             2
     3 |             1
     4 |             0
     5 |             0
     6 |             1
     7 |             0
     8 |             1
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |            11
    18 |            19
    19 |             0

graph20_70_494.txt: 
Min Cuts: 53 
