graph20_60_882.txt: 
Min Cuts: 33 
R Size | Number of Cuts
graph20_60_934.txt: 
Min Cuts: 41 
R Size | Number of Cuts
     1 |             3
     2 |             4
     3 |             1
     4 |             2
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             1
    13 |             3
    14 |             0
    15 |             0
    16 |             0
    17 |             4
    18 |            10
    19 |             0

graph20_60_209.txt: 
Min Cuts: 42 
R Size | Number of Cuts
     1 |             6
     2 |             5
     3 |             3
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             1
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             0
    17 |             3
    18 |            10
    19 |             0

graph20_60_824.txt: 
Min Cuts: 42 
R Size | Number of Cuts
     1 |             1
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             1
    17 |            10
    18 |            12
    19 |             0

graph20_60_793.txt: 
Min Cuts: 43 
R Size | Number of Cuts
     1 |             5
     2 |             3
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             9
    18 |            11
    19 |             0

graph20_60_193.txt: 
Min Cuts: 43 
R Size | Number of Cuts
     1 |             6
     2 |             7
     3 |             3
     4 |             1
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             1
    10 |             1
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             2
    17 |             8
    18 |             4
    19 |             0

graph20_60_750.txt: 
Min Cuts: 43 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             3
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             9
    18 |            14
    19 |             0

graph20_60_243.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             2
     2 |             3
     3 |             2
     4 |             1
     5 |             0
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             1
    13 |             2
    14 |             0
    15 |             0
    16 |             4
    17 |             9
    18 |            10
    19 |             0

graph20_60_100.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             5
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             1
    17 |             3
    18 |            16
    19 |             0

graph20_60_334.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             1
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             4
    18 |            21
    19 |             0

graph20_60_585.txt: 
Min Cuts: 44 
R Size | Number of Cuts
     1 |             6
     2 |             3
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             5
    16 |             9
    17 |             2
    18 |             6
    19 |             0

graph20_60_257.txt: 
Min Cuts: 45 
R Size | Number of Cuts
     1 |             5
     2 |             1
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             4
    17 |             4
    18 |            16
    19 |             0

graph20_60_324.txt: 
Min Cuts: 45 
R Size | Number of Cuts
     1 |             4
     2 |             2
     3 |             2
     4 |             0
     5 |             0
     6 |             3
     7 |             3
     8 |             1
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             2
    14 |             0
    15 |             0
    16 |             2
    17 |             4
    18 |            12
    19 |             0

graph20_60_911.txt: 
Min Cuts: 46 
R Size | Number of Cuts
     1 |             4
     2 |             4
     3 |             3
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             2
    16 |            11
    17 |             2
    18 |            10
    19 |             0

graph20_60_714.txt: 
Min Cuts: 46 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             1
    18 |            25
    19 |             0

graph20_60_262.txt: 
Min Cuts: 46 
R Size | Number of Cuts
     1 |             4
     2 |             3
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             2
    18 |            24
    19 |             0

graph20_60_719.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             4
     2 |             5
     3 |             3
     4 |             1
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             1
    13 |             0
    14 |             0
    15 |             1
    16 |             5
    17 |            11
    18 |             5
    19 |             0

graph20_60_234.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             4
     2 |             2
     3 |             3
     4 |             2
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             9
    18 |            19
    19 |             0

graph20_60_669.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             6
     2 |             6
     3 |             3
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             2
    17 |             9
    18 |            11
    19 |             0

graph20_60_205.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             4
     2 |             1
     3 |             1
     4 |             0
     5 |             1
     6 |             0
     7 |             1
     8 |             1
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             2
    16 |             6
    17 |             7
    18 |            12
    19 |             0

graph20_60_686.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             4
     2 |             2
     3 |             0
     4 |             0
     5 |             2
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             1
    16 |             0
    17 |             4
    18 |            21
    19 |             0

graph20_60_839.txt: 
Min Cuts: 47 
R Size | Number of Cuts
     1 |             6
     2 |             2
     3 |             0
     4 |             0
     5 |             1
     6 |             1
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             7
    18 |            20
    19 |             0

graph20_60_218.txt: 
Min Cuts: 48 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             4
     4 |             2
     5 |             1
     6 |             0
     7 |             0
     8 |             1
     9 |             0
    10 |             0
    11 |             1
    12 |             0
    13 |             1
    14 |             0
    15 |             2
    16 |             3
    17 |             4
    18 |            16
    19 |             0

graph20_60_182.txt: 
Min Cuts: 48 
R Size | Number of Cuts
     1 |             7
     2 |             4
     3 |             1
     4 |             1
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             7
    18 |            16
    19 |             0

graph20_60_383.txt: 
Min Cuts: 48 
R Size | Number of Cuts
     1 |             2
     2 |             3
     3 |             1
     4 |             1
     5 |             0
     6 |             1
     7 |             0
     8 |             2
     9 |             1
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             0
    17 |             6
    18 |            17
    19 |             0

graph20_60_233.txt: 
Min Cuts: 48 
R Size | Number of Cuts
     1 |             4
     2 |             2
     3 |             1
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             9
    18 |            17
    19 |             0

graph20_60_106.txt: 
Min Cuts: 48 
R Size | Number of Cuts
     1 |             4
     2 |             1
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             1
    10 |             1
    11 |             0
    12 |             2
    13 |             2
    14 |             1
    15 |             1
    16 |             0
    17 |             6
    18 |            19
    19 |             0

graph20_60_221.txt: 
Min Cuts: 48 
R Size | Number of Cuts
     1 |             5
     2 |             2
     3 |             2
     4 |             2
     5 |             0
     6 |             0
     7 |             0
     8 |             1
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             3
    15 |             1
    16 |             9
    17 |             3
    18 |             9
    19 |             0

graph20_60_411.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             6
     2 |             4
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             1
    13 |             0
    14 |             1
    15 |             3
    16 |             6
    17 |             3
    18 |            12
    19 |             0

graph20_60_548.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             5
     2 |             3
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             4
    18 |            22
    19 |             0

graph20_60_471.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             1
     4 |             1
     5 |             0
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             4
    17 |             4
    18 |            20
    19 |             0

graph20_60_58.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             4
     2 |             1
     3 |             1
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             3
    15 |             4
    16 |            11
    17 |             5
    18 |             6
    19 |             0

graph20_60_865.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |             5
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             0
    15 |             2
    16 |             3
    17 |             9
    18 |            13
    19 |             0

graph20_60_38.txt: 
Min Cuts: 49 
R Size | Number of Cuts
     1 |            10
     2 |             3
     3 |             2
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             8
    18 |            15
    19 |             0

graph20_60_91.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             4
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             3
    14 |             0
    15 |             0
    16 |             0
    17 |             7
    18 |            21
    19 |             0

graph20_60_446.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             7
     2 |             2
     3 |             4
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             1
    17 |             9
    18 |            18
    19 |             0

graph20_60_453.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             9
     2 |             2
     3 |             1
     4 |             2
     5 |             1
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             1
    12 |             0
    13 |             0
    14 |             3
    15 |             6
    16 |             1
    17 |             4
    18 |             8
    19 |             0

graph20_60_672.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             9
     2 |             3
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             1
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             2
    14 |             4
    15 |             0
    16 |             2
    17 |             7
    18 |            12
    19 |             0

graph20_60_956.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             7
     2 |             5
     3 |             1
     4 |             1
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |            11
    18 |            12
    19 |             0

graph20_60_900.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             5
     2 |             1
     3 |             1
     4 |             1
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             5
    15 |             4
    16 |             7
    17 |             8
    18 |             5
    19 |             0

graph20_60_445.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             5
     2 |             3
     3 |             3
     4 |             2
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             2
    16 |             5
    17 |             5
    18 |            12
    19 |             0

graph20_60_301.txt: 
Min Cuts: 50 
R Size | Number of Cuts
     1 |             4
     2 |             3
     3 |             3
     4 |             0
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             1
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             6
    18 |            22
    19 |             0

graph20_60_476.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             5
     2 |             4
     3 |             1
     4 |             0
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             3
    16 |             8
    17 |            10
    18 |             6
    19 |             0

graph20_60_448.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             4
     2 |             3
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             2
    16 |             4
    17 |            11
    18 |            14
    19 |             0

graph20_60_197.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             5
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             1
     9 |             1
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             4
    17 |            15
    18 |            10
    19 |             0

graph20_60_733.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             6
     2 |             4
     3 |             0
     4 |             0
     5 |             1
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             2
    15 |             0
    16 |             3
    17 |             6
    18 |            16
    19 |             0

graph20_60_317.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             5
     2 |             3
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             1
    12 |             7
    13 |             0
    14 |             0
    15 |             0
    16 |             3
    17 |            10
    18 |             7
    19 |             0

graph20_60_412.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             3
     2 |             0
     3 |             2
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             3
    17 |             5
    18 |            21
    19 |             0

graph20_60_49.txt: 
Min Cuts: 51 
R Size | Number of Cuts
     1 |             7
     2 |             3
     3 |             2
     4 |             1
     5 |             1
     6 |             0
     7 |             0
     8 |             2
     9 |             0
    10 |             1
    11 |             0
    12 |             4
    13 |             0
    14 |             2
    15 |             2
    16 |             4
    17 |             7
    18 |             8
    19 |             0

graph20_60_12.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             7
     2 |             2
     3 |             1
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             1
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             8
    17 |             8
    18 |            15
    19 |             0

graph20_60_704.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             3
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             4
    17 |            15
    18 |            17
    19 |             0

graph20_60_129.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             3
     2 |             6
     3 |             1
     4 |             2
     5 |             2
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             3
    15 |             0
    16 |             4
    17 |            10
    18 |             8
    19 |             0

graph20_60_844.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             7
     2 |             1
     3 |             2
     4 |             0
     5 |             0
     6 |             1
     7 |             3
     8 |             0
     9 |             2
    10 |             1
    11 |             0
    12 |             2
    13 |             2
    14 |             0
    15 |             2
    16 |             1
    17 |             5
    18 |            13
    19 |             0

graph20_60_650.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             8
     2 |             3
     3 |             1
     4 |             0
     5 |             1
     6 |             2
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             1
    17 |            11
    18 |            13
    19 |             0

graph20_60_124.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             8
     2 |             2
     3 |             3
     4 |             1
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             8
    18 |            16
    19 |             0

graph20_60_681.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             5
     2 |             1
     3 |             0
     4 |             3
     5 |             2
     6 |             1
     7 |             0
     8 |             1
     9 |             1
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             1
    15 |             1
    16 |             0
    17 |             9
    18 |            15
    19 |             0

graph20_60_764.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             9
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             2
    16 |             1
    17 |             6
    18 |            21
    19 |             0

graph20_60_237.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             0
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             1
    10 |             6
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             8
    18 |            20
    19 |             0

graph20_60_2.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             6
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             4
    18 |            27
    19 |             0

graph20_60_572.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             3
     4 |             7
     5 |             1
     6 |             2
     7 |             1
     8 |             1
     9 |             3
    10 |             0
    11 |             1
    12 |             2
    13 |             5
    14 |             0
    15 |             1
    16 |             1
    17 |             1
    18 |            12
    19 |             0

graph20_60_739.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             5
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             3
    17 |            17
    18 |            12
    19 |             0

graph20_60_697.txt: 
Min Cuts: 52 
R Size | Number of Cuts
     1 |             8
     2 |             2
     3 |             2
     4 |             3
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             2
    17 |             7
    18 |            18
    19 |             0

graph20_60_644.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             6
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             4
    17 |             7
    18 |            23
    19 |             0

graph20_60_547.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             6
     2 |             5
     3 |             3
     4 |             1
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             6
    18 |            19
    19 |             0

graph20_60_845.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             8
     2 |             0
     3 |             1
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             5
    17 |             9
    18 |            15
    19 |             0

graph20_60_993.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             4
     2 |             4
     3 |             3
     4 |             0
     5 |             1
     6 |             5
     7 |             5
     8 |             4
     9 |             1
    10 |             0
    11 |             0
    12 |             4
    13 |             2
    14 |             0
    15 |             1
    16 |             0
    17 |             0
    18 |             9
    19 |             0

graph20_60_769.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             5
     2 |             1
     3 |             1
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             3
    15 |             0
    16 |             0
    17 |             1
    18 |            28
    19 |             0

graph20_60_741.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             5
     2 |             4
     3 |             4
     4 |             1
     5 |             1
     6 |             2
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             2
    15 |             4
    16 |             4
    17 |             3
    18 |            13
    19 |             0

graph20_60_380.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             4
     2 |             4
     3 |             1
     4 |             0
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             9
    18 |            24
    19 |             0

graph20_60_308.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             5
     2 |             0
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             1
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             2
    17 |            17
    18 |            12
    19 |             0

graph20_60_111.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             6
     2 |             3
     3 |             0
     4 |             1
     5 |             1
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             7
    17 |            11
    18 |            11
    19 |             0

graph20_60_735.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             2
    15 |             7
    16 |             7
    17 |             9
    18 |            10
    19 |             0

graph20_60_571.txt: 
Min Cuts: 53 
R Size | Number of Cuts
     1 |             6
     2 |             1
     3 |             0
     4 |             2
     5 |             0
     6 |             0
     7 |             0
     8 |             2
     9 |             0
    10 |             1
    11 |             1
    12 |             2
    13 |             1
    14 |             7
    15 |             3
    16 |             0
    17 |             8
    18 |             5
    19 |             0

graph20_60_379.txt: 
Min Cuts: 54 
