graph20_20_618.txt: 
Min Cuts: 53 
R Size | Number of Cuts
Min Cuts: 57 
R Size | Number of Cuts
     1 |             7
     2 |             5
     3 |             2
     4 |             5
     5 |             1
     6 |             5
     7 |             3
     8 |             0
     9 |             2
    10 |             3
    11 |             4
    12 |             2
    13 |             0
    14 |             1
    15 |             2
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_799.txt: 
Min Cuts: 57 
R Size | Number of Cuts
     1 |             9
     2 |             7
     3 |             5
     4 |             3
     5 |             4
     6 |             2
     7 |             2
     8 |             2
     9 |             3
    10 |             1
    11 |             1
    12 |             0
    13 |             0
    14 |             3
    15 |             0
    16 |             2
    17 |             1
    18 |             1
    19 |             0

graph20_20_847.txt: 
Min Cuts: 58 
R Size | Number of Cuts
     1 |             9
     2 |             5
     3 |             5
     4 |             4
     5 |             1
     6 |             2
     7 |             4
     8 |             3
     9 |             3
    10 |             1
    11 |             0
    12 |             0
    13 |             3
    14 |             1
    15 |             2
    16 |             1
    17 |             1
    18 |             1
    19 |             0

graph20_20_1000.txt: 
Min Cuts: 58 
R Size | Number of Cuts
     1 |             5
     2 |             6
     3 |             5
     4 |             3
     5 |             3
     6 |             3
     7 |             4
     8 |             5
     9 |             2
    10 |             1
    11 |             1
    12 |             2
    13 |             0
    14 |             0
    15 |             2
    16 |             1
    17 |             0
    18 |             1
    19 |             0

graph20_20_472.txt: 
Min Cuts: 58 
R Size | Number of Cuts
     1 |             6
     2 |             6
     3 |             4
     4 |             4
     5 |             3
     6 |             4
     7 |             4
     8 |             2
     9 |             1
    10 |             2
    11 |             2
    12 |             0
    13 |             1
    14 |             3
    15 |             2
    16 |             3
    17 |             0
    18 |             0
    19 |             0

graph20_20_94.txt: 
Min Cuts: 58 
R Size | Number of Cuts
     1 |             9
     2 |             5
     3 |             5
     4 |             5
     5 |             4
     6 |             3
     7 |             2
     8 |             4
     9 |             3
    10 |             2
    11 |             0
    12 |             1
    13 |             1
    14 |             0
    15 |             1
    16 |             0
    17 |             1
    18 |             0
    19 |             0

graph20_20_126.txt: 
Min Cuts: 58 
R Size | Number of Cuts
     1 |             8
     2 |             8
     3 |             4
     4 |             3
     5 |             3
     6 |             2
     7 |             5
     8 |             0
     9 |             2
    10 |             1
    11 |             1
    12 |             1
    13 |             2
    14 |             0
    15 |             2
    16 |             2
    17 |             1
    18 |             1
    19 |             0

graph20_20_376.txt: 
Min Cuts: 58 
R Size | Number of Cuts
     1 |             9
     2 |             7
     3 |             6
     4 |             1
     5 |             4
     6 |             3
     7 |             3
     8 |             1
     9 |             2
    10 |             1
    11 |             0
    12 |             0
    13 |             3
    14 |             1
    15 |             1
    16 |             0
    17 |             1
    18 |             0
    19 |             0

graph20_20_504.txt: 
Min Cuts: 58 
R Size | Number of Cuts
     1 |             8
     2 |             4
     3 |             5
     4 |             4
     5 |             3
     6 |             4
     7 |             4
     8 |             1
     9 |             1
    10 |             1
    11 |             2
    12 |             3
    13 |             1
    14 |             0
    15 |             1
    16 |             0
    17 |             2
    18 |             1
    19 |             0

graph20_20_651.txt: 
Min Cuts: 58 
R Size | Number of Cuts
     1 |             9
     2 |             7
     3 |             5
     4 |             2
     5 |             2
     6 |             3
     7 |             4
     8 |             2
     9 |             1
    10 |             1
    11 |             2
    12 |             2
    13 |             2
    14 |             1
    15 |             1
    16 |             1
    17 |             0
    18 |             0
    19 |             0

graph20_20_294.txt: 
Min Cuts: 58 
R Size | Number of Cuts
     1 |            10
     2 |             9
     3 |             4
     4 |             3
     5 |             3
     6 |             3
     7 |             1
     8 |             1
     9 |             2
    10 |             1
    11 |             3
    12 |             2
    13 |             2
    14 |             0
    15 |             1
    16 |             0
    17 |             0
    18 |             1
    19 |             0

graph20_20_15.txt: 
Min Cuts: 58 
R Size | Number of Cuts
     1 |             6
     2 |             6
     3 |             3
     4 |             6
     5 |             3
     6 |             4
     7 |             2
     8 |             2
     9 |             2
    10 |             1
    11 |             2
    12 |             2
    13 |             1
    14 |             1
    15 |             3
    16 |             0
    17 |             1
    18 |             0
    19 |             0

graph20_20_328.txt: 
Min Cuts: 58 
R Size | Number of Cuts
     1 |            11
     2 |             4
     3 |             4
     4 |             5
     5 |             2
     6 |             2
     7 |             4
     8 |             2
     9 |             2
    10 |             2
    11 |             3
    12 |             2
    13 |             0
    14 |             1
    15 |             1
    16 |             1
    17 |             0
    18 |             0
    19 |             0

graph20_20_116.txt: 
Min Cuts: 58 
R Size | Number of Cuts
     1 |             8
     2 |             5
     3 |             6
     4 |             4
     5 |             3
     6 |             2
     7 |             3
     8 |             3
     9 |             0
    10 |             0
    11 |             1
    12 |             1
    13 |             2
    14 |             2
    15 |             1
    16 |             1
    17 |             1
    18 |             1
    19 |             0

graph20_20_9.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             7
     2 |            10
     3 |             6
     4 |             5
     5 |             1
     6 |             3
     7 |             3
     8 |             3
     9 |             2
    10 |             1
    11 |             0
    12 |             2
    13 |             1
    14 |             0
    15 |             2
    16 |             1
    17 |             1
    18 |             1
    19 |             0

graph20_20_351.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             6
     2 |             5
     3 |             4
     4 |             7
     5 |             6
     6 |             5
     7 |             1
     8 |             3
     9 |             1
    10 |             2
    11 |             0
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             0
    17 |             0
    18 |             0
    19 |             0

graph20_20_726.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |            13
     2 |             6
     3 |             3
     4 |             4
     5 |             5
     6 |             2
     7 |             2
     8 |             3
     9 |             0
    10 |             1
    11 |             1
    12 |             1
    13 |             2
    14 |             1
    15 |             0
    16 |             1
    17 |             1
    18 |             1
    19 |             0

graph20_20_664.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             9
     2 |             5
     3 |             7
     4 |             3
     5 |             2
     6 |             4
     7 |             4
     8 |             2
     9 |             2
    10 |             1
    11 |             3
    12 |             2
    13 |             1
    14 |             1
    15 |             1
    16 |             0
    17 |             1
    18 |             1
    19 |             0

graph20_20_975.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             7
     2 |             7
     3 |             6
     4 |             4
     5 |             3
     6 |             2
     7 |             1
     8 |             2
     9 |             1
    10 |             1
    11 |             2
    12 |             1
    13 |             5
    14 |             0
    15 |             1
    16 |             2
    17 |             0
    18 |             0
    19 |             0

graph20_20_13.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             5
     2 |             4
     3 |             4
     4 |             2
     5 |             3
     6 |             4
     7 |             3
     8 |             3
     9 |             2
    10 |             3
    11 |             3
    12 |             4
    13 |             3
    14 |             0
    15 |             0
    16 |             2
    17 |             0
    18 |             0
    19 |             0

graph20_20_319.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             7
     2 |             7
     3 |             2
     4 |             6
     5 |             3
     6 |             3
     7 |             1
     8 |             2
     9 |             4
    10 |             3
    11 |             2
    12 |             2
    13 |             1
    14 |             1
    15 |             0
    16 |             1
    17 |             1
    18 |             1
    19 |             0

graph20_20_802.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             6
     2 |             6
     3 |             6
     4 |             7
     5 |             5
     6 |             1
     7 |             3
     8 |             2
     9 |             1
    10 |             1
    11 |             1
    12 |             3
    13 |             0
    14 |             0
    15 |             1
    16 |             1
    17 |             0
    18 |             1
    19 |             0

graph20_20_97.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             6
     2 |             7
     3 |             6
     4 |             5
     5 |             2
     6 |             2
     7 |             2
     8 |             3
     9 |             3
    10 |             2
    11 |             2
    12 |             2
    13 |             1
    14 |             1
    15 |             2
    16 |             0
    17 |             1
    18 |             0
    19 |             0

graph20_20_370.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             7
     2 |             6
     3 |             5
     4 |             4
     5 |             3
     6 |             2
     7 |             2
     8 |             2
     9 |             2
    10 |             2
    11 |             2
    12 |             3
    13 |             2
    14 |             1
    15 |             2
    16 |             0
    17 |             0
    18 |             1
    19 |             0

graph20_20_947.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             5
     2 |             6
     3 |             4
     4 |             3
     5 |             3
     6 |             4
     7 |             4
     8 |             4
     9 |             1
    10 |             3
    11 |             1
    12 |             1
    13 |             2
    14 |             2
    15 |             1
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_393.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             6
     2 |             3
     3 |             6
     4 |             6
     5 |             4
     6 |             4
     7 |             4
     8 |             1
     9 |             0
    10 |             1
    11 |             2
    12 |             1
    13 |             2
    14 |             2
    15 |             1
    16 |             0
    17 |             1
    18 |             1
    19 |             0

graph20_20_919.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             7
     2 |             5
     3 |             3
     4 |             3
     5 |             4
     6 |             5
     7 |             2
     8 |             3
     9 |             2
    10 |             2
    11 |             3
    12 |             0
    13 |             1
    14 |             1
    15 |             2
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_752.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             7
     2 |             5
     3 |             4
     4 |             2
     5 |             2
     6 |             5
     7 |             4
     8 |             4
     9 |             2
    10 |             1
    11 |             3
    12 |             2
    13 |             3
    14 |             2
    15 |             1
    16 |             0
    17 |             1
    18 |             0
    19 |             0

graph20_20_619.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             8
     2 |             6
     3 |             4
     4 |             5
     5 |             4
     6 |             4
     7 |             4
     8 |             3
     9 |             1
    10 |             0
    11 |             1
    12 |             0
    13 |             2
    14 |             1
    15 |             0
    16 |             1
    17 |             1
    18 |             1
    19 |             0

graph20_20_183.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             6
     2 |             8
     3 |             5
     4 |             3
     5 |             4
     6 |             1
     7 |             3
     8 |             2
     9 |             2
    10 |             1
    11 |             4
    12 |             2
    13 |             1
    14 |             2
    15 |             2
    16 |             2
    17 |             0
    18 |             0
    19 |             0

graph20_20_380.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             8
     2 |             9
     3 |             4
     4 |             3
     5 |             3
     6 |             0
     7 |             4
     8 |             1
     9 |             1
    10 |             2
    11 |             2
    12 |             1
    13 |             1
    14 |             1
    15 |             2
    16 |             1
    17 |             1
    18 |             1
    19 |             0

graph20_20_262.txt: 
Min Cuts: 59 
R Size | Number of Cuts
     1 |             8
     2 |             4
     3 |             5
     4 |             5
     5 |             3
     6 |             3
     7 |             2
     8 |             3
     9 |             2
    10 |             1
    11 |             1
    12 |             3
    13 |             1
    14 |             1
    15 |             1
    16 |             3
    17 |             1
    18 |             0
    19 |             0

graph20_20_368.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             6
     2 |             6
     3 |             3
     4 |             4
     5 |             5
     6 |             3
     7 |             3
     8 |             5
     9 |             2
    10 |             2
    11 |             3
    12 |             2
    13 |             1
    14 |             2
    15 |             1
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_388.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |            10
     2 |             4
     3 |             3
     4 |             4
     5 |             3
     6 |             4
     7 |             4
     8 |             1
     9 |             3
    10 |             0
    11 |             3
    12 |             0
    13 |             4
    14 |             2
    15 |             0
    16 |             1
    17 |             2
    18 |             0
    19 |             0

graph20_20_766.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             8
     2 |             6
     3 |             2
     4 |             1
     5 |             2
     6 |             2
     7 |             4
     8 |             2
     9 |             4
    10 |             6
    11 |             4
    12 |             2
    13 |             2
    14 |             1
    15 |             0
    16 |             1
    17 |             0
    18 |             0
    19 |             0

graph20_20_108.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |            10
     2 |             7
     3 |             5
     4 |             5
     5 |             4
     6 |             3
     7 |             2
     8 |             2
     9 |             1
    10 |             2
    11 |             2
    12 |             0
    13 |             3
    14 |             0
    15 |             0
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_180.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             8
     2 |             3
     3 |             5
     4 |             6
     5 |             5
     6 |             1
     7 |             3
     8 |             2
     9 |             5
    10 |             3
    11 |             0
    12 |             2
    13 |             0
    14 |             2
    15 |             1
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_607.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |            10
     2 |             7
     3 |             5
     4 |             4
     5 |             2
     6 |             2
     7 |             3
     8 |             2
     9 |             2
    10 |             1
    11 |             2
    12 |             1
    13 |             4
    14 |             0
    15 |             2
    16 |             0
    17 |             1
    18 |             0
    19 |             0

graph20_20_532.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |            10
     2 |             4
     3 |             5
     4 |             5
     5 |             5
     6 |             3
     7 |             1
     8 |             3
     9 |             0
    10 |             1
    11 |             2
    12 |             3
    13 |             1
    14 |             2
    15 |             0
    16 |             0
    17 |             2
    18 |             0
    19 |             0

graph20_20_216.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             8
     2 |             7
     3 |             5
     4 |             3
     5 |             3
     6 |             4
     7 |             4
     8 |             1
     9 |             1
    10 |             1
    11 |             2
    12 |             2
    13 |             2
    14 |             0
    15 |             1
    16 |             1
    17 |             1
    18 |             1
    19 |             0

graph20_20_755.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             6
     2 |             5
     3 |             5
     4 |             3
     5 |             4
     6 |             3
     7 |             3
     8 |             3
     9 |             1
    10 |             2
    11 |             3
    12 |             5
    13 |             4
    14 |             1
    15 |             0
    16 |             0
    17 |             1
    18 |             0
    19 |             0

graph20_20_750.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             9
     2 |             4
     3 |             6
     4 |             5
     5 |             4
     6 |             4
     7 |             3
     8 |             1
     9 |             2
    10 |             2
    11 |             1
    12 |             3
    13 |             2
    14 |             0
    15 |             1
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_544.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             9
     2 |             6
     3 |             4
     4 |             2
     5 |             4
     6 |             2
     7 |             2
     8 |             3
     9 |             2
    10 |             3
    11 |             3
    12 |             2
    13 |             1
    14 |             2
    15 |             2
    16 |             0
    17 |             1
    18 |             1
    19 |             0

graph20_20_329.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             8
     2 |             5
     3 |             3
     4 |             3
     5 |             2
     6 |             2
     7 |             3
     8 |             4
     9 |             4
    10 |             2
    11 |             2
    12 |             2
    13 |             1
    14 |             2
    15 |             2
    16 |             2
    17 |             2
    18 |             1
    19 |             0

graph20_20_649.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             6
     2 |             5
     3 |             5
     4 |             2
     5 |             2
     6 |             3
     7 |             5
     8 |             3
     9 |             4
    10 |             3
    11 |             2
    12 |             2
    13 |             1
    14 |             4
    15 |             1
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_800.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             6
     2 |             7
     3 |             6
     4 |             5
     5 |             3
     6 |             4
     7 |             3
     8 |             1
     9 |             3
    10 |             2
    11 |             2
    12 |             2
    13 |             2
    14 |             0
    15 |             2
    16 |             1
    17 |             0
    18 |             1
    19 |             0

graph20_20_170.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             9
     2 |             7
     3 |             4
     4 |             3
     5 |             4
     6 |             2
     7 |             3
     8 |             2
     9 |             4
    10 |             2
    11 |             1
    12 |             3
    13 |             0
    14 |             2
    15 |             0
    16 |             1
    17 |             0
    18 |             0
    19 |             0

graph20_20_882.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |            11
     2 |             7
     3 |             5
     4 |             5
     5 |             2
     6 |             3
     7 |             2
     8 |             1
     9 |             3
    10 |             0
    11 |             2
    12 |             2
    13 |             2
    14 |             1
    15 |             1
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_898.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             9
     2 |             6
     3 |             5
     4 |             2
     5 |             5
     6 |             3
     7 |             2
     8 |             2
     9 |             4
    10 |             2
    11 |             1
    12 |             2
    13 |             0
    14 |             0
    15 |             2
    16 |             2
    17 |             0
    18 |             0
    19 |             0

graph20_20_877.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |            10
     2 |             6
     3 |             7
     4 |             4
     5 |             5
     6 |             0
     7 |             2
     8 |             2
     9 |             3
    10 |             0
    11 |             2
    12 |             1
    13 |             2
    14 |             0
    15 |             1
    16 |             0
    17 |             2
    18 |             0
    19 |             0

graph20_20_617.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             8
     2 |             6
     3 |             4
     4 |             3
     5 |             2
     6 |             2
     7 |             2
     8 |             4
     9 |             5
    10 |             3
    11 |             1
    12 |             2
    13 |             2
    14 |             0
    15 |             2
    16 |             1
    17 |             0
    18 |             0
    19 |             0

graph20_20_16.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |            10
     2 |             6
     3 |             5
     4 |             3
     5 |             3
     6 |             2
     7 |             3
     8 |             2
     9 |             4
    10 |             3
    11 |             2
    12 |             1
    13 |             0
    14 |             1
    15 |             1
    16 |             1
    17 |             1
    18 |             1
    19 |             0

graph20_20_133.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             8
     2 |             5
     3 |             5
     4 |             4
     5 |             3
     6 |             5
     7 |             4
     8 |             2
     9 |             1
    10 |             3
    11 |             0
    12 |             2
    13 |             0
    14 |             1
    15 |             1
    16 |             1
    17 |             2
    18 |             1
    19 |             0

graph20_20_14.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             6
     2 |             9
     3 |             5
     4 |             4
     5 |             4
     6 |             3
     7 |             0
     8 |             1
     9 |             3
    10 |             2
    11 |             0
    12 |             1
    13 |             2
    14 |             2
    15 |             0
    16 |             1
    17 |             1
    18 |             1
    19 |             0

graph20_20_459.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             9
     2 |             3
     3 |             4
     4 |             5
     5 |             2
     6 |             0
     7 |             4
     8 |             2
     9 |             2
    10 |             1
    11 |             2
    12 |             3
    13 |             2
    14 |             1
    15 |             3
    16 |             2
    17 |             1
    18 |             0
    19 |             0

graph20_20_59.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             7
     2 |             7
     3 |             3
     4 |             4
     5 |             3
     6 |             3
     7 |             1
     8 |             1
     9 |             2
    10 |             5
    11 |             3
    12 |             1
    13 |             2
    14 |             2
    15 |             2
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_945.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |            10
     2 |             7
     3 |             5
     4 |             5
     5 |             3
     6 |             3
     7 |             3
     8 |             3
     9 |             2
    10 |             1
    11 |             2
    12 |             2
    13 |             1
    14 |             0
    15 |             0
    16 |             1
    17 |             0
    18 |             0
    19 |             0

graph20_20_724.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             9
     2 |             4
     3 |             4
     4 |             4
     5 |             3
     6 |             3
     7 |             2
     8 |             2
     9 |             2
    10 |             3
    11 |             2
    12 |             3
    13 |             1
    14 |             1
    15 |             3
    16 |             2
    17 |             1
    18 |             0
    19 |             0

graph20_20_852.txt: 
Min Cuts: 60 
R Size | Number of Cuts
     1 |             7
     2 |             6
     3 |             4
     4 |             2
     5 |             5
     6 |             1
     7 |             3
     8 |             3
     9 |             2
    10 |             2
    11 |             2
    12 |             2
    13 |             2
    14 |             1
    15 |             3
    16 |             2
    17 |             2
    18 |             1
    19 |             0

graph20_20_242.txt: 
Min Cuts: 61 
R Size | Number of Cuts
     1 |             6
     2 |             6
     3 |             2
     4 |             3
     5 |             5
     6 |             5
     7 |             2
     8 |             6
     9 |             1
    10 |             4
    11 |             1
    12 |             1
    13 |             3
    14 |             1
    15 |             2
    16 |             1
    17 |             0
    18 |             0
    19 |             0

graph20_20_435.txt: 
Min Cuts: 61 
R Size | Number of Cuts
     1 |            10
     2 |             7
     3 |             5
     4 |             4
     5 |             3
     6 |             1
     7 |             2
     8 |             1
     9 |             1
    10 |             2
    11 |             0
    12 |             3
    13 |             1
    14 |             0
    15 |             2
    16 |             3
    17 |             0
    18 |             1
    19 |             0

graph20_20_883.txt: 
Min Cuts: 61 
R Size | Number of Cuts
     1 |            11
     2 |             5
     3 |             3
     4 |             5
     5 |             4
     6 |             4
     7 |             2
     8 |             0
     9 |             3
    10 |             1
    11 |             2
    12 |             1
    13 |             3
    14 |             1
    15 |             1
    16 |             0
    17 |             1
    18 |             1
    19 |             0

graph20_20_487.txt: 
Min Cuts: 61 
R Size | Number of Cuts
     1 |             9
     2 |             5
     3 |             5
     4 |             3
     5 |             2
     6 |             3
     7 |             2
     8 |             2
     9 |             2
    10 |             2
    11 |             3
    12 |             1
    13 |             2
    14 |             3
    15 |             1
    16 |             1
    17 |             1
    18 |             0
    19 |             0

graph20_20_661.txt: 
Min Cuts: 61 
R Size | Number of Cuts
     1 |             7
     2 |             7
     3 |             6
     4 |             5
     5 |             5
     6 |             2
     7 |             2
     8 |             1
     9 |             2
    10 |             3
    11 |             1
    12 |             2
    13 |             1
    14 |             1
    15 |             0
    16 |             0
    17 |             0
    18 |             1
    19 |             0

graph20_20_146.txt: 
Min Cuts: 61 
R Size | Number of Cuts
     1 |            10
     2 |             6
     3 |             6
     4 |             4
     5 |             4
     6 |             3
     7 |             2
     8 |             3
     9 |             2
    10 |             1
    11 |             1
    12 |             1
    13 |             0
    14 |             2
    15 |             1
    16 |             1
    17 |             2
    18 |             0
    19 |             0

graph20_20_786.txt: 
Min Cuts: 61 
R Size | Number of Cuts
     1 |             9
     2 |             5
     3 |             5
     4 |             3
     5 |             4
     6 |             1
     7 |             3
     8 |             3
     9 |             2
    10 |             1
    11 |             4
    12 |             3
    13 |             0
    14 |             2
    15 |             0
    16 |             1
    17 |             0
    18 |             1
    19 |             0

graph20_20_171.txt: 
Min Cuts: 61 
R Size | Number of Cuts
     1 |             9
     2 |             6
     3 |             5
     4 |             3
     5 |             3
     6 |             2
     7 |             3
     8 |             2
     9 |             2
    10 |             2
    11 |             1
    12 |             3
    13 |             1
    14 |             1
    15 |             3
    16 |             0
    17 |             0
    18 |             0
    19 |             0

graph20_20_314.txt: 
